sha1,text
33270b2ef29196dd717bcfc54cf38572743b12f3,"in 1991 , mark blundell scored more points in 1991 than he did in 1995 ."
0d5eac7139337e5ba0262303f4c95d3258d2984c,"in the 1998 cfl draft , matt kellett was the only player drafted from saskatchewan ."
e2d94b982ca1c11171c9d2e611019463f967e274,2008 was the only year that alberta greens had 50 % of the popular vote .
4d12d3d3bb9cea75e9a86f298bb49532e4273340,"in the 1963 season , the new york giants played november 3rd , 1963 before they played november 3rd ."
84c5e06fdf89c21b180f95f68d7655b57197db95,david simon & ed burns directed most of the episodes of the wire season 1 .
36b349cb7ec387343cba18696b2b09b234c1c59e,the plug-in electric vehicles in the united states have an average epa rated all - electric range of 131.4 g / mile .
af1833ab5a653e65484aa4e1be9cffd5b491fa08,mercy college was founded earlier than dowling college in the east coast conference .
132b7b760ab38731d12b418e6322bcdba1e08eb7,"sura , bob bob sura is the only player on the houston rockets all - time roster from stroud , john john stroud school ."
3bc5e1e6716d762eae082be2fe4f3893e083a161,reg parnell ferrari 500 / 625 scored the highest points of any entrant .
3b1e3287b8f9db13a7656cf0e2a2f631d4f200ea,"in the 2007 u.s. women 's open golf championship , South korea ranked the highest ."
deb5396a8383b90a48fc9bda7afad7ecce540373,the mcg venue recorded the highest crowd participation during the 1969 vfl season .
e29bfd3f04b58328ed2d867b19063fa565304f0a,jorge aguilar 's match against panama city was the earliest in his career .
b29208e3a071df6a719799261426e15dd6f9264b,most of the supernanny episodes of supernanny originally aired in the month of july .
e7dda60bd220d04d9f5074e78fc1c008d49e4a8e,"in the 1930 vfl season , the game played on may 10th , 1930 was played in carlton ."
3e5a37c967370034b0662f32688e659c20c39360,"in the 2002 - 03 cleveland cavaliers season , the game on february 4th was the only one to end in a draw ."
8959604a56839b3233c2aeed1d218467e5c746ff,"of the six feet under episodes , the one with the 2nd earliest original air date is i 'll take you ."
945bcda4649aa14d2af84738202d93d8aeced871,the majority of the teams in the 2008 summer olympics - women 's double sculls were from the united states .
224a13d9be68484f990748389b75d2de8618bc13,"of the competitions that july 6 , 2008 was the only one in which jatidd was the venue ."
46951669761306e1b63f7351a9bcd13369b617b9,"in the 1998 eurovision song contest , kaliopi received more televotes than marjan necak ."
89a9cbecd725c82439576d2a0d690fc6781532d5,1979 was the only year that the 1958 miles were released in the format of vinyl lp .
99f35053c186e42cfcd47778a9ce14d835701fee,"in the 1961 vfl season , when the away team 's score was under 10 , there were 3 times when the crowd was under 23000 ."
455564c5b2cfc4ff2b3243c3be24af32fd5aa7a5,lauren hill was the third person featured in playboy in the year of 2009 .
cc8f6599284927f251aa9999d066ff05e480e04f,"in the 1992 indianapolis colts season , quentin coryatt was the 2nd player drafted ."
b28a422886d20956c681468838c36547bf433126,jarkko kinnunen 's race in the european championships 50 km from 2010 was faster than his race in the dnf 50 km from 2010 .
10ba0ef74b486aae16cfc6e36b211287492bf7c7,"in west worcestershire ( uk parliament constituency ) , most of the candidates were from the conservative party ."
dc177d67d8eab0738c5470ca8e8e414086b75fb9,princes park venue recorded the highest crowd participation during the 1932 vfl season .
da8a0151e3c9f0798d4824a33968b9f82be8dd7d,the majority of orlando pizzolato 's competitions were in the olympic games .
f20aaffd220a8610100ca2bebab833c982bbc696,"for television in the united kingdom , the average number of viewers is 28.94 million ."
47e9745076cad3673f6fbc01466469d93506d3af,the majority of competitions were in the 2007 afc asian cup qualification .
1b63ef4076c1bf7cff83c8a6cf32970c4159d57c,"in the 1988 african cup of champions , the team that scored the most goals was manzini wanderers ."
212667427982dd6f7805daffaf5cdbb4bfb4b868,in the 2008 summer olympics men 's double sculls men 's double sculls men 's double sculls men 's double sculls men 's double sculls men 's double sculls .
0e96fe786f07daeaab878d664150fe476ac66fed,ty warren was selected in an earlier round in the 2003 new england patriots season than dan klecko .
8c522a1e294dfc1568e6795b59605256f5cbb8a4,"the majority of renée zellweger 's nominations and awards , were for the film "" best actress - musical or comedy "" ."
0a642f4db8cd61b1dfb01b3d1a7b3f177bd20dc8,the average number of points for players in the 2007 - 08 fis ski jumping world cup is 263.16 .
2328932a3facd322e17710526ad24683485c57e5,"in roker park , kieron brady 's score was two times higher than any other competition ."
71ca7029227a56d89fda5927b30deca536f42e17,pipat thonkanya 's highest scoring match took place on a 5-1 record .
4d99cb4ebca9d4631a51c090cc15049d9b9e2f41,ricky davis was the leading scorer in 3 games in the 2002 - 03 season .
473d3b0e806517dc4b21cf2c97c97a75a91d6f2c,sans contrefaçon 's version of the song he was in for the longest time in 1987 .
85e437dfacb7166f2cee9355b882764bf23bc022,candidates received a combined total of 4.46 million votes in the 2010 philippine presidential election .
2bea2b0520e89cb87f84dc8b314903bca53422bc,"in judo at the 1997 mediterranean games , most countries won 0 gold medals ."
7b788c032c459bee29a30477ce2158fe0d1d3120,"in the 1967 vfl season , the average crowd was 21996 ."
2c4051c9f6ace934d3a60fa54a1d4358fc584c96,the average earpads used by the grado labs is 365 .
8d957e2b8d8779c5e3cdf0c3c6b12afcc7a8ad8f,"in the 1997 eurovision song contest , photogenique was the only song that did n't have any points ."
446bf190646823d52163b9ad95bcf2844043963b,mark donohue had a higher start in 1969 than he did in 1970 .
a416bcaefe19da84f1bf1395b6ef94cda84e16ec,there are 5 episodes of the wire ( season 1 ) .
1178e7c2299cbdf9a0d430b3049cee37c5797a50,mauri rose had 2 more laps in the qualifying session than he did in the qualifying session .
